ID	VGS = 3.3	VGS = 3.4	VGS = 3.5	VGS = 3.6	VGS = 3.7	VGS = 3.8
0	0.00016	0.00027	0.00044	0.0007	0.00096	0.0012
0.1	0.00118	0.00234	0.00412	0.0067	0.01076	0.01482
0.2	0.00138	0.00278	0.00508	0.00864	0.01452	0.02068
0.3	0.00144	0.0029	0.00538	0.00929	0.01592	0.02322
0.4	0.00144	0.00296	0.00552	0.00958	0.01652	0.02432
0.5	0.00146	0.003	0.00558	0.00968	0.01682	0.0249
0.6	0.00146	0.003	0.0056	0.00978	0.01693	0.02514
0.7	0.00146	0.00302	0.00562	0.00982	0.01702	0.02528
0.8	0.00148	0.003	0.00564	0.00984	0.01712	0.02538
0.9	0.00148	0.00302	0.00564	0.00984	0.01709	0.02546
1	0.0015	0.00302	0.00566	0.00987	0.01712	0.02552
1.1	0.00148	0.00302	0.00566	0.00988	0.01714	0.02554
1.2	0.00148	0.00302	0.00564	0.00988	0.01709	0.02554
1.3	0.00146	0.00304	0.00568	0.00994	0.01718	0.02562
1.4	0.00146	0.00302	0.00568	0.0099	0.01716	0.02564
1.5	0.00148	0.003	0.00566	0.00998	0.01714	0.02566
1.6	0.0015	0.00302	0.00566	0.00994	0.01712	0.02562
1.7	0.00148	0.00304	0.00568	0.00994	0.0171	0.0257
1.8	0.00146	0.00306	0.00566	0.00994	0.01718	0.02572
1.9	0.00146	0.00304	0.00568	0.00994	0.01714	0.02576
2	0.00148	0.00304	0.00568	0.00992	0.01716	0.02584
2.1	0.00148	0.00304	0.00568	0.00994	0.01716	0.02584
2.2	0.00148	0.00302	0.00568	0.00995	0.01716	0.02584
2.3	0.00148	0.00304	0.0057	0.01	0.0172	0.02582
2.4	0.0015	0.00306	0.00568	0.00995	0.0172	0.02586
2.5	0.00148	0.003	0.00568	0.00998	0.01718	0.02588
2.6	0.00152	0.00304	0.00568	0.01	0.0172	0.0259
2.7	0.00146	0.00306	0.0057	0.01	0.0172	0.02594
2.8	0.00148	0.003	0.00572	0.01	0.0172	0.02592
2.9	0.00152	0.00306	0.00572	0.01	0.0172	0.02594
3	0.0015	0.00306	0.00574	0.01002	0.01722	0.02598
3.1	0.0015	0.00302	0.00574	0.01003	0.01725	0.02604
3.2	0.00148	0.00306	0.0057	0.01006	0.01723	0.02596
3.3	0.00148	0.00304	0.00572	0.01003	0.01722	0.02606
3.4	0.0015	0.00304	0.00576	0.01002	0.01722	0.02612
3.5	0.0015	0.00304	0.00572	0.01006	0.01724	0.0261
3.6	0.00148	0.00304	0.00572	0.01003	0.01726	0.02608
3.7	0.00148	0.00304	0.00574	0.01008	0.01726	0.02614
3.8	0.0015	0.00304	0.00574	0.01004	0.01732	0.0262
3.9	0.0015	0.00308	0.00572	0.01006	0.0173	0.02622
4	0.00148	0.00306	0.00572	0.01008	0.01726	0.02624
4.1	0.00148	0.00304	0.00572	0.0101	0.01734	0.02624
4.2	0.00148	0.00306	0.0057	0.01008	0.01732	0.0263
4.3	0.00148	0.00304	0.00574	0.01012	0.01738	0.02634
4.4	0.00148	0.00304	0.00574	0.0101	0.01732	0.02636
4.5	0.0015	0.00304	0.00576	0.01014	0.01739	0.0264
4.6	0.00152	0.00304	0.00574	0.0101	0.01744	0.02642
4.7	0.00148	0.00308	0.00576	0.01011	0.01741	0.02646
4.8	0.00148	0.00306	0.00574	0.01016	0.0174	0.0265
4.9	0.00148	0.00306	0.00574	0.01016	0.0174	0.0265
5	0.0015	0.00306	0.00576	0.01016	0.01744	0.02656
